Can You Love Animals and Eat Them?,I love animals,I'm an animal lover,,,,,,,
It's My Personal Choice To Eat Animals!,It's my choice ,Stop being preachy,Let me live my life,,,,,,
I Love How Animals Taste!,they taste so good,but bacon though,but bacon tho,,,,,,
Animals Eat Other Animals,lions eat meat,in the wild predators eat meat,,,,,,,
Veganism Is Unhealthy,what about protein,I'm an athlete,Vegans are all protein deficient anyways,What about vitamin b12,you can't be healthy without eating meat,vegans are unhealthy,vegans are malnourished,,
It's Cultural and Traditional to Eat Animals,meat is a big part of my culture,what about the culture around food,my culture revolves around eating meat,,,,,,
Our Ancestors Ate Animals,our ancestors ate animals,cavemen ate animals,we've always eaten animals,,,,,,
"If the World Went Vegan, What Would Happen to the Animals?",what would happen to the animals,there would be too many animals if we stopped eating them,,,,,,,
Human Rights Issues are More Important Than Veganism,what about slavery,what about racism,vegans don’t' care about human rights,vegans don't care about lgbt issues,vegans don't care about any other issue,veganism is racist,vegans are sexist,veganism is racist,vegans are racist
Plants Feel Pain,what if plants feel pain,plants feel pain too,how do you know plants don't feel pain,,,,,,
Do Animals Feel Pain?,animals don't feel pain,animals aren't sentient,Fish dont have a complex nervous system compared to mammals and dont know whats happening so its fine to eat fish,,,,,,
Humans Are at the Top of the Food Chain,humans are the superior species,humans are the most evovled,we deserve to eat animals,we deserve to eat them,humans deserve to eat them,humans are the apex predator,They are fullfilling the natural purpose of their lives by contributing to the food chain,,
We Are More Intelligent Than Animals,animals are stupid,humans are the most evovled,,,,,,,
Why Farmed Animals Should be Grateful,they wouldn't exist without us,animals wouldn't exist without us,,,,,,,
Can't We Just Improve the Welfare of Animals?,factory farming is the main culprit,I only eat free range,I only eat organic,,,,,,
Morality is Subjective,morality is subjective,,,,,,,,
Everything in Moderation,I don't even eat that much meat,we should just reduce consumption,I agree we have to reduce animal products but veganism is just too extreme,,,,,,
You Can't Be 100% Vegan,it's impossible to be fully vegan,what about bugs and mice in crop fields,vegans cause suffering too,let’s just not pretend veganism doesn’t cause suffering,,,,,
What if a Vegan Was Stranded on a Desert Island?,desert island,survival situation,,,,,,,
Being Vegetarian is Enough,I'm vegetarian,eggs and cheese aren't so bad,dairy is fine,it doesn't make sense to give up dairy and eggs,You don't have to kill a cow to get milk,,,,,
Hitler Was a Vegetarian/I Once Met a Mean Vegan,vegans are too preachy,vegans are mean,,,,,,,
What About Farmer's Jobs?,what about farmers,what about farmers income,what about farmers livelihoods,the agricultural industry will fail,,,,,
Eating Animals is the Circle of Life,it's the circle of life,,,,,,,,
Animals Are Bred to be Killed,we breed them to eat them,Pigs and cows are ok because they were bred to be livestock,,,,,,,
Soya Farming is Destroying the Environment,soya farming is ruining the rainforest,vegan diets have a bigger impact on the environment,,,,,,,
Going Vegan is Expensive and Restrictive,only rich people can be vegan,veganism is classist,what about inuit people,,,,,,
We're Omnivores/We Have Canine Teeth,we evolved to eat meat,humans evolved to eat meat,we're omnivores,we have sharp teeth,But canines are for eating meat,,,,
My Friends and Family Will Judge me if I go Vegan,my family hates vegans,,,,,,,,
God Says That I Can Eat Animals,god put animals on this earth for humans to eat them,god put animals on this earth for us to eat them,the bible says eating animals is okay,the bible doesn't forbid it,,,,,
One Person Can't Make a Difference,corporations are more at fault,only me changing won't do anything,the government needs to step in,,,,,,
